2010_avg_ridership,2011_avg_ridership,2013_avg_ridership,2014_avg_ridership,borough,change_from_2013,closed_2014,prc_change_from_2013,station_trains
7423,7533,7479,7512,Brooklyn,33,,0.44,53 St (R)
5931,6518,7003,7489,Bronx,486,,6.94,"East 180 St (2,5)"
6538,6705,6772,7442,Bronx,670,,9.89,Pelham Bay Park (6)
7066,7049,7235,7431,Queens,196,,2.71,"Northern Blvd (M,R)"
6359,6663,6820,7351,Bronx,531,,7.79,Westchester Sq-East Tremont Av (6)
6753,6594,7111,7322,Brooklyn,211,,2.97,Bay Pkwy (D)
6497,6703,6990,7301,Brooklyn,311,,4.45,Bay Pkwy (N)
6050,6530,7126,7298,Brooklyn,172,,2.41,Morgan Av (L)
6597,6742,7117,7253,Manhattan,136,,1.91,"Cathedral Pkwy-110 St (B,C)"
6508,6715,7034,7244,Brooklyn,210,,2.99,Fort Hamilton Pkwy (N)
5408,5771,6612,7230,Brooklyn,618,,9.35,Jefferson St (L)
7059,7218,6978,7208,Brooklyn,230,,3.3,45 St (R)
6123,6278,6803,7193,Manhattan,390,,5.73,3 Av (L)
6262,6535,6657,7138,Brooklyn,481,,7.23,"Hoyt St (2,3)"
7092,4025,6564,7112,Manhattan,548,Yes,8.35,Dyckman St (1)
6148,6504,6943,7107,Bronx,164,,2.36,Van Cortlandt Park-242 St (1)
5945,6153,6594,7005,Manhattan,411,,6.23,"116 St (B,C)"
6054,6155,6563,6988,Bronx,425,,6.48,"170 St (B,D)"
5946,6268,6731,6961,Brooklyn,230,,3.42,Montrose Av (L)
6440,6596,6830,6951,Queens,121,,1.77,52 St (7)
4101,6816,6821,6922,Brooklyn,101,Yes,1.48,Avenue U (Q)
5404,5698,6642,6719,Brooklyn,77,,1.16,Clinton-Washington Avs (C)
5935,7088,6557,6687,Manhattan,130,,1.98,Dyckman St (A)
2304,9603,6588,6669,Bronx,81,Yes,1.23,Morrison Av-Soundview (6)
6023,6113,6400,6666,Queens,266,,4.16,Hunters Point Av (7)
6037,6150,6303,6645,Bronx,342,,5.43,"Bedford Park Blvd (B,D)"
6015,6223,6349,6626,Brooklyn,277,,4.36,New Lots Av (3)
5733,5554,6293,6617,Brooklyn,324,,5.15,79 St (D)
6013,6174,6463,6540,Queens,77,,1.19,Parsons Blvd (F)
6401,5746,5635,6525,Manhattan,890,Yes,15.79,"Broad St (J,Z)"
9042,2240,6377,6496,Bronx,119,Yes,1.87,Elder Av (6)
6220,4725,6448,6495,Brooklyn,47,Yes,0.73,"15 St-Prospect Park (F,G)"
5348,5786,6227,6492,Brooklyn,265,,4.26,"Franklin Av (C,S)"
6089,6216,6270,6475,Brooklyn,205,,3.27,Grant Av (A)
6738,7010,6528,6415,Brooklyn,113,,-1.73,Union St (R)
6071,6162,6360,6356,Bronx,4,Yes,-0.06,183 St (4)
5917,6745,6098,6336,Manhattan,238,,3.9,207 St (1)
5699,5516,6162,6326,Brooklyn,164,Yes,2.66,18 Av (D)
5874,6073,6186,6312,Bronx,126,,2.04,Brook Av (6)
